outer_test_subject,top_k,transition_weight,n1_emission_boost,mean_macro_f1,mean_n1_f1,mean_min_class_f1,mean_balanced_accuracy,std_macro_f1,selected
SC401,10,0.75,1.1,0.6998456684494977,0.20650730732851982,0.20650730732851982,0.7068232512947841,0.021611582625349905,False
SC401,5,0.75,1.2,0.6990423698920544,0.20562386221973225,0.20562386221973225,0.7060578688034717,0.026897366351763922,False
SC401,20,0.75,1.0,0.6985196213525762,0.18651327125441744,0.18651327125441744,0.71263920126538,0.02691397844768974,False
SC401,10,0.25,1.0,0.6980702161764982,0.23879929887506407,0.23879929887506407,0.7041893371026207,0.014898917039553417,False
SC401,10,0.5,1.1,0.6975583054920006,0.204622331374625,0.204622331374625,0.708750018988946,0.023218269498257536,False
SC401,0,0.25,1.1,0.6965632865459173,0.2283663881860119,0.2283663881860119,0.7071813647392305,0.016537106783044937,False
SC401,5,0.25,1.0,0.6962804435750987,0.21067651500964507,0.21067651500964507,0.705702360166161,0.024912039531835704,False
SC401,0,0.5,1.2,0.6958369513214061,0.21236443465152827,0.21236443465152827,0.7067289385606135,0.014911793156695899,False
SC401,10,1.0,1.35,0.6954695929633287,0.22840488894631633,0.22840488894631633,0.699572095006735,0.01972011554847713,False
SC401,20,1.0,1.1,0.6953878136672496,0.19243567462545563,0.19243567462545563,0.705948235447052,0.03651660454019743,False
SC401,20,0.5,1.0,0.6944474647559619,0.1775518656303105,0.1775518656303105,0.7087318936263809,0.029350898513881448,False
SC401,0,0.75,1.35,0.6942214219792001,0.2241844940365243,0.2241844940365243,0.7000203385494245,0.024843776147424394,False
SC401,10,1.0,1.2,0.6936964977779851,0.21571644905192663,0.21571644905192663,0.6976847241806938,0.02408148169028424,False
SC401,10,0.5,1.0,0.6932433900505448,0.18237194687639277,0.18237194687639277,0.7046744024508536,0.02304965430395538,False
SC401,15,1.0,1.5,0.6930947689949072,0.22848146878895625,0.22848146878895625,0.6968601709110003,0.023959765171365874,False
SC401,10,0.75,1.0,0.692659910306473,0.18642323051855625,0.18642323051855625,0.7013214885962414,0.025634504425842294,False
SC401,15,0.75,1.2,0.6924566231249877,0.19191592657750894,0.19191592657750894,0.7026748640306429,0.021860732038720843,False
